indiv	community.1	community.11	community.13	community.14	community.15	community.16	community.17	community.18	community.19	community.2	community.20	community.21	community.22	community.23	community.25	community.27	community.28	community.29	community.3	community.30	community.31	community.32	community.33	community.36	community.37	community.4	community.6	community.8	community.9	priass	mean_het_comm	wt_avg_het_comm	species
AC_1873_20970	6.77E-06	0.002811901	0.001430427	0.002085663	0.001801752	0.001819672	0.001850413	0.001735724	0.001856659	0.001972987	0.001058024	0.001752994	0.001528974	0.002163299	0.00257078	0.0014982	0.00104242	0.002308167	NA	0.001506062	0.002016551	0.001664521	0.001669665	0.002297543	0.002045106	0.001602807	0.001683923	0.001624929	0.001585886	1393409187	0.001823045	0.001591121	AC
AI_1363_74536	8.19E-05	0.000328994	0.000294145	0.000252417	0.000181556	0.000252061	0.000243933	0.000203215	0.000218193	0.000245646	0.00012503	0.000177575	0.000171684	0.000197382	0.000289034	0.000188149	0.000101349	0.000266283	NA	0.000175556	0.000191415	0.000214198	0.000188674	0.000281862	0.000302192	0.000183048	0.000171677	0.000169674	0.000168784	1232403123	0.000215959	0.000179467	AI
AI_1363_74537	8.91E-05	0.00035088	0.000300064	0.000309583	0.000212569	0.00026637	0.000267397	0.000213057	0.000194972	0.000246662	0.000123236	0.000166868	0.000157109	0.000234943	0.00027456	0.00018221	0.00011856	0.000298226	NA	0.000180244	0.000227463	0.000225023	0.000216552	0.00032922	0.000304826	0.000177884	0.000235993	0.000156784	0.000183466	1240986351	0.000229664	0.000187517	AI
AI_1363_74539	4.00E-05	0.000298098	0.00031509	0.000335913	0.000179441	0.000293137	0.000251978	0.00022734	0.000220085	0.000230015	0.000124998	0.000217	0.00019011	0.000201536	0.00022154	0.000189413	0.000109413	0.000304082	NA	0.00018453	0.000264074	0.000208832	0.000199742	0.000377923	0.000299207	0.000192657	0.00022586	0.000183658	0.000173221	1229857467	0.000232526	0.000194411	AI
AI_1363_74544	7.90E-05	0.000150193	0.000195793	0.000240254	0.000185373	0.000251644	0.000243084	0.000212014	0.000204071	0.000164754	0.000119159	0.000211858	0.000117154	0.000180938	0.000271838	0.000143671	8.57E-05	0.000207631	NA	0.000176617	0.000212233	0.000219227	0.000180739	0.000200869	0.000211587	0.000194114	0.000222689	0.000169944	0.000188988	1191608649	0.000191275	0.00017946	AI
AI_1363_74563	8.86E-05	0.000268488	0.000178263	0.000293628	0.000195359	0.000208762	0.000296939	0.000242692	0.000241632	0.000257292	0.000121223	0.00020684	0.000173727	0.000193805	0.000302934	0.000188149	0.000102615	0.000267259	NA	0.000192171	0.000203978	0.000211193	0.000186272	0.000225355	0.000284457	0.000183371	0.000220588	0.000172948	0.000181135	1222097268	0.000216151	0.000188369	AI
AI_1363_74565	5.29E-05	0.00034244	0.00021264	0.000218862	0.000206519	0.000270168	0.000232715	0.000256626	0.00020025	0.000229546	0.000122425	0.00019961	0.000190307	0.000239155	0.000272554	0.000173744	0.000118886	0.00026087	NA	0.000177979	0.000234129	0.000241583	0.000192537	0.000280247	0.000240735	0.000194279	0.000199484	0.000154531	0.000184513	1226430096	0.000217801	0.000186574	AI
AI_1603_79174	6.78E-07	0.000318695	0.000132274	0.000255422	0.000192892	0.00027202	0.000319106	0.000232876	0.000214699	0.000206177	0.000125986	0.00023593	0.000186771	0.000201882	0.00027628	0.000197542	0.000118886	0.000290151	NA	0.000164604	0.000249153	0.000220209	0.000269698	0.000334871	0.000346089	0.000182444	0.000210635	0.000194572	0.000185884	1255738407	0.000228841	0.000194421	AI
AI_1603_79203	8.07E-07	0.000350308	0.000300975	0.000272665	0.000202525	0.000299389	0.00027276	0.000217818	0.000201414	0.000230484	0.000128321	0.000221323	0.000166224	0.000176611	0.000282155	0.000196868	0.000111871	0.000305058	NA	0.000148949	0.000242794	0.000249954	0.000258735	0.000317649	0.000378398	0.000194503	0.000197783	0.000168033	0.00017175	1265657680	0.000234368	0.000189432	AI
AI_1603_79218	7.63E-05	0.000352882	0.000238594	0.000221724	0.000222789	0.000247986	0.000273743	0.000227955	0.000189295	0.000222512	9.98E-05	0.000218565	0.00017306	0.000226981	0.000284735	0.00018419	9.50E-05	0.000221118	NA	0.000186609	0.000175314	0.000211346	0.000180425	0.00032034	0.000341524	0.000189529	0.000194186	0.000177356	0.000179465	1227979902	0.000218368	0.000182518	AI
