aphWoo1#REF#ScYP8k3100HRSCAF209_RagTag	131889
aphWoo1#REF#ScYP8k3101HRSCAF210_RagTag	120789
aphWoo1#REF#ScYP8k3103HRSCAF212_RagTag	243341
aphWoo1#REF#ScYP8k3106HRSCAF216_RagTag	27531
aphWoo1#REF#ScYP8k3107HRSCAF217_RagTag	75285
aphWoo1#REF#ScYP8k3109HRSCAF220_RagTag	25513
aphWoo1#REF#ScYP8k310HRSCAF43chZ_RagTag	84762816
aphWoo1#REF#ScYP8k3112HRSCAF225_RagTag	71575
aphWoo1#REF#ScYP8k3113HRSCAF226_RagTag	64755
aphWoo1#REF#ScYP8k3117HRSCAF231_RagTag	25640
aphWoo1#REF#ScYP8k3118HRSCAF232_RagTag	74463
aphWoo1#REF#ScYP8k311HRSCAF50ch4_RagTag	77290488
aphWoo1#REF#ScYP8k3124HRSCAF238_RagTag	69660
aphWoo1#REF#ScYP8k3126HRSCAF241_RagTag	39367
aphWoo1#REF#ScYP8k312HRSCAF54ch1A_RagTag	78606840
aphWoo1#REF#ScYP8k3132HRSCAF247_RagTag	23909
aphWoo1#REF#ScYP8k3133HRSCAF248_RagTag	31930
aphWoo1#REF#ScYP8k3134HRSCAF249_RagTag	42405
aphWoo1#REF#ScYP8k3136HRSCAF251_RagTag	57087
aphWoo1#REF#ScYP8k313HRSCAF58ch1_RagTag	122412203
aphWoo1#REF#ScYP8k3143HRSCAF258_RagTag	92960
aphWoo1#REF#ScYP8k3146HRSCAF261_RagTag	28285
aphWoo1#REF#ScYP8k314HRSCAF84ch4A_RagTag	21410330
aphWoo1#REF#ScYP8k3152HRSCAF268_RagTag	25403
aphWoo1#REF#ScYP8k3155HRSCAF272_RagTag	31649
aphWoo1#REF#ScYP8k3156HRSCAF273_RagTag	29559
aphWoo1#REF#ScYP8k3157HRSCAF274_RagTag	48761
aphWoo1#REF#ScYP8k315HRSCAF89_RagTag	2297812
aphWoo1#REF#ScYP8k3167HRSCAF285_RagTag	21929
aphWoo1#REF#ScYP8k3168HRSCAF286_RagTag	35085
aphWoo1#REF#ScYP8k316HRSCAF106_RagTag	2287527
aphWoo1#REF#ScYP8k3175HRSCAF295_RagTag	49240
aphWoo1#REF#ScYP8k3178HRSCAF298_RagTag	167541
aphWoo1#REF#ScYP8k317HRSCAF108_RagTag	43492
aphWoo1#REF#ScYP8k3186HRSCAF306_RagTag	40941
aphWoo1#REF#ScYP8k318HRSCAF109_RagTag	31629
aphWoo1#REF#ScYP8k3191HRSCAF312_RagTag	48453
aphWoo1#REF#ScYP8k3194HRSCAF315_RagTag	56031
aphWoo1#REF#ScYP8k319HRSCAF112_RagTag	125498
aphWoo1#REF#ScYP8k31HRSCAF1ch8_RagTag	32609977
aphWoo1#REF#ScYP8k3201HRSCAF322_RagTag	55197
aphWoo1#REF#ScYP8k3202HRSCAF323_RagTag	69394
aphWoo1#REF#ScYP8k3204HRSCAF325_RagTag	309202
aphWoo1#REF#ScYP8k3205HRSCAF326_RagTag	12000
aphWoo1#REF#ScYP8k3209HRSCAF331_RagTag	91826
aphWoo1#REF#ScYP8k320HRSCAF113_RagTag	119425
aphWoo1#REF#ScYP8k3211HRSCAF333_RagTag	48208
aphWoo1#REF#ScYP8k3213HRSCAF335_RagTag	52095
aphWoo1#REF#ScYP8k321HRSCAF114_RagTag	90729
aphWoo1#REF#ScYP8k3220HRSCAF342_RagTag	130909
aphWoo1#REF#ScYP8k3225HRSCAF347_RagTag	66924
aphWoo1#REF#ScYP8k3228HRSCAF351_RagTag	72807
aphWoo1#REF#ScYP8k322HRSCAF115_RagTag	426776
aphWoo1#REF#ScYP8k3231HRSCAF354_RagTag	44527
aphWoo1#REF#ScYP8k3233HRSCAF356_RagTag	73000
aphWoo1#REF#ScYP8k3234HRSCAF357_RagTag	138510
aphWoo1#REF#ScYP8k3238HRSCAF362_RagTag	379421
aphWoo1#REF#ScYP8k323HRSCAF117_RagTag	52757
aphWoo1#REF#ScYP8k3253HRSCAF378_RagTag	478066
aphWoo1#REF#ScYP8k3254HRSCAF379_RagTag	44308
aphWoo1#REF#ScYP8k3257HRSCAF383_RagTag	1000
aphWoo1#REF#ScYP8k325HRSCAF121_RagTag	109372
aphWoo1#REF#ScYP8k3263HRSCAF389_RagTag	24590
aphWoo1#REF#ScYP8k326HRSCAF122_RagTag	83853
aphWoo1#REF#ScYP8k3276HRSCAF403_RagTag	37321
aphWoo1#REF#ScYP8k327HRSCAF123_RagTag	124756
aphWoo1#REF#ScYP8k3283HRSCAF410_RagTag	25314
aphWoo1#REF#ScYP8k328HRSCAF126_RagTag	26691
aphWoo1#REF#ScYP8k329HRSCAF128_RagTag	42779
aphWoo1#REF#ScYP8k32HRSCAF3ch10_RagTag	21128477
aphWoo1#REF#ScYP8k3302HRSCAF431ch13_RagTag	19502111
aphWoo1#REF#ScYP8k3305HRSCAF434_RagTag	55723
aphWoo1#REF#ScYP8k330HRSCAF129_RagTag	30106
aphWoo1#REF#ScYP8k3313HRSCAF442_RagTag	17617
aphWoo1#REF#ScYP8k331HRSCAF131_RagTag	78681
aphWoo1#REF#ScYP8k3328HRSCAF458_RagTag	116005
aphWoo1#REF#ScYP8k3336HRSCAF468_RagTag	37031
aphWoo1#REF#ScYP8k333HRSCAF133_RagTag	90113
aphWoo1#REF#ScYP8k3347HRSCAF480_RagTag	551219
aphWoo1#REF#ScYP8k3354HRSCAF487_RagTag	35970
aphWoo1#REF#ScYP8k3359HRSCAF492_RagTag	41832
aphWoo1#REF#ScYP8k335HRSCAF136_RagTag	35613
aphWoo1#REF#ScYP8k336HRSCAF137_RagTag	107172
aphWoo1#REF#ScYP8k3374HRSCAF507_RagTag	23684
aphWoo1#REF#ScYP8k3379HRSCAF512_RagTag	104479
aphWoo1#REF#ScYP8k337HRSCAF138_RagTag	71349
aphWoo1#REF#ScYP8k338HRSCAF140_RagTag	40154
aphWoo1#REF#ScYP8k339HRSCAF141_RagTag	75000
aphWoo1#REF#ScYP8k33HRSCAF8ch9_RagTag	27475697
aphWoo1#REF#ScYP8k3403HRSCAF536_RagTag	3000
aphWoo1#REF#ScYP8k340HRSCAF142_RagTag	223814
aphWoo1#REF#ScYP8k3414HRSCAF548_RagTag	22673
aphWoo1#REF#ScYP8k3418HRSCAF552_RagTag	53815
aphWoo1#REF#ScYP8k3425HRSCAF559_RagTag	48341
aphWoo1#REF#ScYP8k342HRSCAF144_RagTag	39505
aphWoo1#REF#ScYP8k3432HRSCAF566_RagTag	26724
aphWoo1#REF#ScYP8k3434HRSCAF568_RagTag	24587
aphWoo1#REF#ScYP8k3438HRSCAF572_RagTag	31373
aphWoo1#REF#ScYP8k343HRSCAF145_RagTag	163182
aphWoo1#REF#ScYP8k3450HRSCAF585_RagTag	111610
aphWoo1#REF#ScYP8k345HRSCAF147_RagTag	183270
aphWoo1#REF#ScYP8k3464HRSCAF599_RagTag	41152
aphWoo1#REF#ScYP8k346HRSCAF148_RagTag	45986
aphWoo1#REF#ScYP8k3473HRSCAF608_RagTag	62363
aphWoo1#REF#ScYP8k3479HRSCAF614_RagTag	32092
