Percentile	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
PREP0311_NMeji15612A_B03v1_366493_h_S18_L003_aligned.sorted	1430754.0	1613533.0	1733459.0	1822167.0	1912508.0	2000471.0	2075963.0	2157381.0	2213268.0	2266095.0	2321121.0	2404442.0	2461034.0	2522999.0	2573288.0	2633636.0	2703324.0	2771274.0	2830193.0	2877943.0	2910506.0	2972743.0	3008372.0	3039714.0	3072776.0	3088188.0	3099516.0	3124456.0	3174756.0	3209982.0	3260903.0	3286330.0	3318412.0	3343742.0	3377117.0	3413051.0	3446027.0	3472589.0	3462851.0	3522809.0	3541750.0	3581729.0	3607266.0	3646006.0	3662404.0	3710560.0	3775238.0	3817264.0	3855300.0	3886781.0	3937578.0	3984611.0	4014134.0	4051786.0	4082752.0	4134723.0	4190771.0	4228500.0	4255202.0	4304199.0	4338699.0	4364929.0	4415878.0	4439708.0	4498845.0	4561888.0	4578663.0	4643763.0	4697923.0	4727440.0	4756018.0	4808911.0	4879630.0	4919539.0	4980776.0	5052155.0	5097354.0	5162972.0	5217177.0	5289365.0	5338816.0	5386772.0	5455146.0	5513209.0	5566570.0	5628546.0	5678560.0	5729697.0	5782673.0	5850744.0	5869221.0	5948691.0	5997013.0	6040131.0	6077821.0	6128367.0	6194799.0	6245513.0	6244791.0	6204197.0
PREP0311_NMeji15612A_B04v1_365339_h_S26_L003_aligned.sorted	2501995.0	2823525.0	3057666.0	3212970.0	3363326.0	3507319.0	3644643.0	3783071.0	3885598.0	3993910.0	4104953.0	4213812.0	4304991.0	4395023.0	4477122.0	4556949.0	4616027.0	4652406.0	4700701.0	4795870.0	4846417.0	4891681.0	4938827.0	4991374.0	5038584.0	5089398.0	5129192.0	5178081.0	5241439.0	5271054.0	5330456.0	5354067.0	5371208.0	5405668.0	5443256.0	5477216.0	5512824.0	5510042.0	5479313.0	5526885.0	5527949.0	5547393.0	5544710.0	5555821.0	5561234.0	5582561.0	5619382.0	5622092.0	5651587.0	5648744.0	5714086.0	5723729.0	5733647.0	5765419.0	5776934.0	5806514.0	5829015.0	5853224.0	5878493.0	5907732.0	5941377.0	5947262.0	5983359.0	5955570.0	6010203.0	6056810.0	6069139.0	6104004.0	6140931.0	6142703.0	6143185.0	6155201.0	6170776.0	6194198.0	6211537.0	6249413.0	6262460.0	6284750.0	6279318.0	6294936.0	6318968.0	6325633.0	6353004.0	6345391.0	6355767.0	6371835.0	6387723.0	6401497.0	6403100.0	6419677.0	6377714.0	6391421.0	6365766.0	6320235.0	6262947.0	6269576.0	6328412.0	6283789.0	6226615.0	6150008.0
PREP0311_NMeji15612A_B05v1_366487_l_S34_L003_aligned.sorted	2453038.0	2732214.0	2956589.0	3145828.0	3341811.0	3477344.0	3601996.0	3723458.0	3844162.0	3928087.0	4047167.0	4128406.0	4185191.0	4255576.0	4324323.0	4403909.0	4459202.0	4530521.0	4620833.0	4669560.0	4722965.0	4770824.0	4833979.0	4859125.0	4925944.0	4963733.0	5007422.0	5046641.0	5055067.0	5079708.0	5149078.0	5192966.0	5242349.0	5279069.0	5318595.0	5352450.0	5384108.0	5393712.0	5417095.0	5445689.0	5457245.0	5512617.0	5522464.0	5556129.0	5551462.0	5611415.0	5669218.0	5716048.0	5759658.0	5782951.0	5838900.0	5863924.0	5883044.0	5928301.0	5988115.0	6023458.0	6086490.0	6125465.0	6176257.0	6238973.0	6275834.0	6318025.0	6333953.0	6304330.0	6345552.0	6383523.0	6377475.0	6403465.0	6454943.0	6469398.0	6475712.0	6503033.0	6552578.0	6578653.0	6607126.0	6663790.0	6685120.0	6700862.0	6715429.0	6707337.0	6742994.0	6736709.0	6757688.0	6766794.0	6809325.0	6830807.0	6876071.0	6908914.0	6917103.0	6888307.0	6834535.0	6851318.0	6797493.0	6715330.0	6658315.0	6607368.0	6543163.0	6449486.0	6232874.0	6086914.0
PREP0311_NMeji15612A_B06v1_366499_g_S42_L003_aligned.sorted	4629287.0	5221454.0	5683909.0	6054693.0	6402682.0	6697543.0	6960363.0	7238791.0	7467186.0	7671055.0	7851753.0	8026970.0	8170556.0	8302017.0	8430430.0	8553957.0	8649891.0	8760355.0	8887974.0	8988479.0	9056387.0	9136360.0	9234204.0	9326669.0	9383968.0	9455839.0	9506127.0	9560029.0	9643124.0	9707344.0	9779159.0	9840866.0	9869950.0	9914207.0	9958733.0	9990361.0	10056898.0	10074778.0	10100230.0	10133812.0	10152290.0	10216122.0	10205176.0	10251615.0	10257168.0	10284515.0	10320753.0	10327930.0	10344823.0	10385363.0	10397948.0	10395645.0	10422136.0	10429913.0	10473018.0	10505050.0	10547102.0	10583776.0	10619234.0	10638274.0	10662580.0	10669661.0	10681728.0	10654776.0	10713436.0	10720485.0	10699119.0	10709406.0	10725533.0	10743777.0	10726809.0	10726570.0	10779139.0	10770997.0	10795498.0	10827058.0	10824684.0	10848024.0	10829898.0	10866340.0	10859445.0	10839388.0	10829927.0	10800245.0	10807757.0	10782751.0	10760823.0	10759735.0	10730272.0	10689561.0	10591726.0	10549324.0	10499086.0	10433157.0	10360697.0	10237767.0	10123058.0	9998336.0	9840815.0	9618712.0
PREP0311_NMeji15612A_B07v1_366497_g_S50_L003_aligned.sorted	2088750.0	2344608.0	2552434.0	2708723.0	2868706.0	3004564.0	3124620.0	3264371.0	3373630.0	3461242.0	3554982.0	3652628.0	3733273.0	3808438.0	3877495.0	3959725.0	4032717.0	4118439.0	4189484.0	4236329.0	4286311.0	4358163.0	4436395.0	4485023.0	4511002.0	4547274.0	4592906.0	4634462.0	4687743.0	4740594.0	4807001.0	4859753.0	4893241.0	4938098.0	4982575.0	5028028.0	5070075.0	5117713.0	5140420.0	5198712.0	5227840.0	5274970.0	5298958.0	5343385.0	5361207.0	5413612.0	5473691.0	5528287.0	5574929.0	5628054.0	5683521.0	5733307.0	5793755.0	5840266.0	5911403.0	5961111.0	6029675.0	6088322.0	6138284.0	6192348.0	6229923.0	6266584.0	6309268.0	6324134.0	6395596.0	6443127.0	6462121.0	6521996.0	6578820.0	6622102.0	6658887.0	6715728.0	6793599.0	6833073.0	6885474.0	6977922.0	7020937.0	7077500.0	7113248.0	7186147.0	7233153.0	7263264.0	7329453.0	7368927.0	7437482.0	7489276.0	7548487.0	7588206.0	7631678.0	7658868.0	7654859.0	7702769.0	7749554.0	7780464.0	7787173.0	7789655.0	7780449.0	7728394.0	7671949.0	7493314.0
PREP0311_NMeji15612A_B08v1_366487_e_S58_L003_aligned.sorted	3459840.0	3879804.0	4213467.0	4470700.0	4679441.0	4904118.0	5064176.0	5260788.0	5440699.0	5580139.0	5697426.0	5837278.0	5941531.0	6049853.0	6164425.0	6265024.0	6370544.0	6457676.0	6583801.0	6652410.0	6712070.0	6791502.0	6851764.0	6904344.0	6941182.0	6987710.0	7020048.0	7086145.0	7136407.0	7179991.0	7247207.0	7298994.0	7322013.0	7357254.0	7424061.0	7465719.0	7518947.0	7531500.0	7556352.0	7602621.0	7631186.0	7671543.0	7678657.0	7746812.0	7771364.0	7830858.0	7888622.0	7907812.0	7938060.0	7981692.0	8027405.0	8056710.0	8110433.0	8145610.0	8187054.0	8221844.0	8281655.0	8336424.0	8377060.0	8426001.0	8434528.0	8468391.0	8491774.0	8502231.0	8565846.0	8605513.0	8599786.0	8645418.0	8705801.0	8742584.0	8758143.0	8798968.0	8888949.0	8921365.0	8994488.0	9078693.0	9119443.0	9145381.0	9199967.0	9334912.0	9387616.0	9432742.0	9523138.0	9527040.0	9572153.0	9641129.0	9735990.0	9778869.0	9794114.0	9836628.0	9841821.0	9862188.0	9871198.0	9907143.0	9939205.0	9956229.0	10016088.0	9967129.0	9941412.0	9791370.0
PREP0311_NMeji15612A_C01v1_20946_bl_S3_L003_aligned.sorted	1916216.0	2132132.0	2309257.0	2422911.0	2528887.0	2616666.0	2691594.0	2793178.0	2874660.0	2930657.0	3009999.0	3088775.0	3145242.0	3182490.0	3228193.0	3252270.0	3330502.0	3416022.0	3463459.0	3455242.0	3454996.0	3555665.0	3619198.0	3614840.0	3582917.0	3593543.0	3613861.0	3636703.0	3688365.0	3712425.0	3755004.0	3799214.0	3807319.0	3835398.0	3860874.0	3887772.0	3904807.0	3946784.0	3994286.0	4026763.0	4010922.0	4022489.0	4029890.0	4040973.0	4061294.0	4104809.0	4127790.0	4128933.0	4109381.0	4121259.0	4153866.0	4178927.0	4232498.0	4231770.0	4278261.0	4319899.0	4350900.0	4350874.0	4374106.0	4400424.0	4396976.0	4427550.0	4446660.0	4449645.0	4451391.0	4425772.0	4410460.0	4426880.0	4454416.0	4484059.0	4514228.0	4544572.0	4572001.0	4592312.0	4640462.0	4713148.0	4717410.0	4740643.0	4764573.0	4749248.0	4737432.0	4710122.0	4734585.0	4779303.0	4849687.0	4924282.0	4989998.0	5011188.0	5055487.0	5059575.0	5067949.0	5111621.0	5110363.0	5092618.0	5113877.0	5112818.0	5139072.0	5118148.0	4864848.0	4776536.0
PREP0311_NMeji15612A_C02v1_10752_bl_S11_L003_aligned.sorted	2345700.0	2616944.0	2845951.0	3014153.0	3201159.0	3334565.0	3440482.0	3585094.0	3684558.0	3757807.0	3851964.0	3947167.0	4011556.0	4057668.0	4126575.0	4166609.0	4217233.0	4267859.0	4303947.0	4338946.0	4354368.0	4399849.0	4445620.0	4489021.0	4495422.0	4546087.0	4587748.0	4626473.0	4673444.0	4682984.0	4735091.0	4775046.0	4789447.0	4797848.0	4823693.0	4841680.0	4849715.0	4872159.0	4889009.0	4914416.0	4924989.0	4963204.0	4976624.0	4998671.0	4995999.0	5048031.0	5059662.0	5046982.0	5047275.0	5048530.0	5091132.0	5092388.0	5141631.0	5156360.0	5194357.0	5230713.0	5255402.0	5240450.0	5250445.0	5285069.0	5282374.0	5303694.0	5336156.0	5312118.0	5303526.0	5287983.0	5279178.0	5301989.0	5348926.0	5380963.0	5383095.0	5392198.0	5409947.0	5431322.0	5460926.0	5518954.0	5513749.0	5522527.0	5521470.0	5478016.0	5456138.0	5392375.0	5395568.0	5449761.0	5501927.0	5559489.0	5601261.0	5599516.0	5615548.0	5609035.0	5598922.0	5601714.0	5591545.0	5545771.0	5533385.0	5487492.0	5498923.0	5446777.0	5217081.0	5107381.0
PREP0311_NMeji15612A_C03v1_366490_h_S19_L003_aligned.sorted	1456037.0	1653372.0	1786101.0	1876422.0	1958928.0	2050404.0	2139396.0	2223671.0	2284556.0	2342448.0	2414662.0	2509904.0	2568375.0	2633162.0	2682378.0	2733595.0	2793350.0	2844456.0	2875744.0	2931320.0	2967867.0	3015628.0	3052446.0	3101601.0	3130511.0	3167213.0	3187880.0	3218673.0	3268759.0	3295362.0	3358282.0	3373717.0	3400793.0	3432931.0	3475216.0	3521486.0	3562725.0	3594445.0	3575732.0	3631359.0	3639948.0	3669797.0	3685386.0	3715194.0	3717201.0	3756261.0	3806359.0	3840605.0	3867669.0	3883313.0	3942193.0	3979819.0	3997659.0	4044670.0	4072222.0	4118413.0	4162795.0	4197619.0	4232916.0	4276267.0	4317427.0	4342009.0	4389966.0	4406010.0	4464887.0	4525580.0	4553609.0	4612291.0	4664813.0	4684631.0	4709981.0	4758849.0	4811423.0	4853521.0	4899441.0	4961157.0	4979737.0	5023951.0	5047837.0	5109262.0	5152839.0	5187217.0	5228658.0	5251383.0	5287804.0	5331578.0	5361430.0	5383863.0	5424843.0	5470316.0	5464670.0	5507072.0	5514389.0	5508373.0	5493231.0	5516912.0	5589901.0	5585532.0	5564902.0	5497614.0
PREP0311_NMeji15612A_C04v1_366497_h_S27_L003_aligned.sorted	591995.0	689069.0	742979.0	789382.0	836931.0	883784.0	913561.0	956671.0	996799.0	1021908.0	1029854.0	1069034.0	1085036.0	1103605.0	1120430.0	1158093.0	1202814.0	1252383.0	1280594.0	1278968.0	1275280.0	1308207.0	1314026.0	1314428.0	1292529.0	1263928.0	1247100.0	1253870.0	1283909.0	1293358.0	1329673.0	1352088.0	1362387.0	1374658.0	1400793.0	1424933.0	1448208.0	1477945.0	1492896.0	1512502.0	1500604.0	1498374.0	1500528.0	1504660.0	1504871.0	1513774.0	1547654.0	1581156.0	1579686.0	1586713.0	1601643.0	1624985.0	1647053.0	1651747.0	1663654.0	1707835.0	1738599.0	1754014.0	1751407.0	1759498.0	1760419.0	1771578.0	1793803.0	1801019.0	1825679.0	1842311.0	1860645.0	1889884.0	1906839.0	1906193.0	1912650.0	1934177.0	1957258.0	1969744.0	1991873.0	2016485.0	2037376.0	2056214.0	2096225.0	2123160.0	2134956.0	2164706.0	2189845.0	2212559.0	2238643.0	2264953.0	2286764.0	2293185.0	2321441.0	2346520.0	2347946.0	2386348.0	2406183.0	2440229.0	2469758.0	2533589.0	2583877.0	2625990.0	2632637.0	2613511.0
